,job title,more info,job_company,job_location,skill requirement 1,skill requirement 2,skill requirement 3,posted time
1870,IT Audit Specialist /IT Quality Management Specialist,https://th.jobsdb.com//th/en/job/it-audit-specialist-it-quality-management-specialist-300003002460166?token=0~e8caa32f-cac0-42fb-98f9-acec9883c68c&sectionRank=1871&jobId=jobsdb-th-job-300003002460166,"Greenline Synergy Co., Ltd.",Suanluang,IT Audit,IT Quality Management,IT Process Improvement,5d ago
1871,Senior Purchasing Officer,https://th.jobsdb.com//th/en/job/senior-purchasing-officer-300003002457223?token=0~e8caa32f-cac0-42fb-98f9-acec9883c68c&sectionRank=1872&jobId=jobsdb-th-job-300003002457223,Aditya Birla Chemicals (Thailand) Ltd.(Phosphates Division),Phrapradaeng,,,,4d ago
1872,Solutions Architect,https://th.jobsdb.com//th/en/job/solutions-architect-300003002449596?token=0~e8caa32f-cac0-42fb-98f9-acec9883c68c&sectionRank=1873&jobId=jobsdb-th-job-300003002449596,Central Group,Rajthevee,Experienced in public cloud solutions,Experienced in microservices design,"Experienced in REST API design, design patterns,",5d ago
1873,Senior Product Owner (True ID),https://th.jobsdb.com//th/en/job/senior-product-owner-true-id-300003002450511?token=0~e8caa32f-cac0-42fb-98f9-acec9883c68c&sectionRank=1874&jobId=jobsdb-th-job-300003002450511,"True Digital Group Co., Ltd.",Prakanong,Digital Product Owner,Agile,Business Analyst,7d ago
1874,Sales Representative\เจ้าหน้าที่ฝ่ายขาย,https://th.jobsdb.com//th/en/job/sales-representative-%E0%B9%80%E0%B8%88%E0%B9%89%E0%B8%B2%E0%B8%AB%E0%B8%99%E0%B9%89%E0%B8%B2%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%9D%E0%B9%88%E0%B8%B2%E0%B8%A2%E0%B8%82%E0%B8%B2%E0%B8%A2-300003002467069?token=0~e8caa32f-cac0-42fb-98f9-acec9883c68c&sectionRank=1875&jobId=jobsdb-th-job-300003002467069,Comp Trading Company Limited,Bangkhen,Bachelor’s Degree in Computer Science,3 - 5 years  in sales role related IT solutions,Good skill in presentation.,1d ago
1875,Jr./Sr. Failure Analysis & Debug Engineer,https://th.jobsdb.com//th/en/job/jr-sr-failure-analysis-debug-engineer-300003002460664?token=0~e8caa32f-cac0-42fb-98f9-acec9883c68c&sectionRank=1876&jobId=jobsdb-th-job-300003002460664,"Fabrinet Co., Ltd.",Klongluang,Test Engineer,Debug,Failure Analysis,5d ago
1876,"SAP Consultant (FI, CO, SD, HR, MM)",https://th.jobsdb.com//th/en/job/sap-consultant-fi-co-sd-hr-mm-300003002458637?token=0~e8caa32f-cac0-42fb-98f9-acec9883c68c&sectionRank=1877&jobId=jobsdb-th-job-300003002458637,PTT Digital Solutions Company Limited,Jatuchak,Implement and configure SAP,Support SAP users,Exp as SAP Consultant or studied ERP in university,20h ago
1877,"Price Analysis Manager, Dry Food",https://th.jobsdb.com//th/en/job/price-analysis-manager-dry-food-300003002456545?token=0~e8caa32f-cac0-42fb-98f9-acec9883c68c&sectionRank=1878&jobId=jobsdb-th-job-300003002456545,"Big C Supercenter Public Co., Ltd.",Bangkok,มีประสบการณ์ทำงานในธุรกิจค้าปลีก 3 ปี,เข้าใจการแข่งขันด้านราคาในธุรกิจค้าปลีก,การวิเคราะห์ข้อมูลตลาด,5d ago
1878,Sales Analytics Executive - Grocery Sales,https://th.jobsdb.com//th/en/job/sales-analytics-executive-grocery-sales-300003002451686?token=0~e8caa32f-cac0-42fb-98f9-acec9883c68c&sectionRank=1879&jobId=jobsdb-th-job-300003002451686,Nestle (Thai) Ltd.,Pathumwan,flexible working hours and location,Challenging and fun,Data Driven,5d ago
1879,Assistant Manager-Finance/ผู้ช่วยผู้จัดการฝ่ายการเงิน,https://th.jobsdb.com//th/en/job/assistant-manager-finance-%E0%B8%9C%E0%B8%B9%E0%B9%89%E0%B8%8A%E0%B9%88%E0%B8%A7%E0%B8%A2%E0%B8%9C%E0%B8%B9%E0%B9%89%E0%B8%88%E0%B8%B1%E0%B8%94%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%9D%E0%B9%88%E0%B8%B2%E0%B8%A2%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%80%E0%B8%87%E0%B8%B4%E0%B8%99-300003002467981?token=0~e8caa32f-cac0-42fb-98f9-acec9883c68c&sectionRank=1880&jobId=jobsdb-th-job-300003002467981,VFS (THAILAND) LTD.,Wattana,,,,6h ago
1880,Compliance Specialist/Compliance Specialist,https://th.jobsdb.com//th/en/job/compliance-specialist-compliance-specialist-300003002462009?token=0~e8caa32f-cac0-42fb-98f9-acec9883c68c&sectionRank=1881&jobId=jobsdb-th-job-300003002462009,SC Asset Corporation Public Company Limited,Jatuchak,Bachelor’s Degree in Laws or related fields,Experience in respect to Compliance Department,Following pertinent regulations of SEC and SET,1d ago
1881,MarTech Solution Consultant,https://th.jobsdb.com//th/en/job/martech-solution-consultant-300003002465574?token=0~e8caa32f-cac0-42fb-98f9-acec9883c68c&sectionRank=1882&jobId=jobsdb-th-job-300003002465574,"NTT DATA (Thailand) Co., Ltd.",Klongtoey,,,,4d ago
1882,Costing Analyst/หัวหน้างานวิเคราะห์ต้นทุน,https://th.jobsdb.com//th/en/job/costing-analyst-%E0%B8%AB%E0%B8%B1%E0%B8%A7%E0%B8%AB%E0%B8%99%E0%B9%89%E0%B8%B2%E0%B8%87%E0%B8%B2%E0%B8%99%E0%B8%A7%E0%B8%B4%E0%B9%80%E0%B8%84%E0%B8%A3%E0%B8%B2%E0%B8%B0%E0%B8%AB%E0%B9%8C%E0%B8%95%E0%B9%89%E0%B8%99%E0%B8%97%E0%B8%B8%E0%B8%99-300003002456195?token=0~e8caa32f-cac0-42fb-98f9-acec9883c68c&sectionRank=1883&jobId=jobsdb-th-job-300003002456195,"Berli Dynaplast Co., Ltd.",Klongtoey,,,,5d ago
1883,Corporate Budgeting and Financial Analysis (BKK Branch)/เจ้าหน้าที่วิเคราะห์งบประมาณ และการเงินองค์กร (สาขากรุงเทพ),https://th.jobsdb.com//th/en/job/corporate-budgeting-and-financial-analysis-bkk-branch-%E0%B9%80%E0%B8%88%E0%B9%89%E0%B8%B2%E0%B8%AB%E0%B8%99%E0%B9%89%E0%B8%B2%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A7%E0%B8%B4%E0%B9%80%E0%B8%84%E0%B8%A3%E0%B8%B2%E0%B8%B0%E0%B8%AB%E0%B9%8C%E0%B8%87%E0%B8%9A%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%A1%E0%B8%B2%E0%B8%93-%E0%B9%81%E0%B8%A5%E0%B8%B0%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%80%E0%B8%87%E0%B8%B4%E0%B8%99%E0%B8%AD%E0%B8%87%E0%B8%84%E0%B9%8C%E0%B8%81%E0%B8%A3-%E0%B8%AA%E0%B8%B2%E0%B8%82%E0%B8%B2%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-300003002460598?token=0~e8caa32f-cac0-42fb-98f9-acec9883c68c&sectionRank=1884&jobId=jobsdb-th-job-300003002460598,"Von Bundit Co., Ltd.",Wattana,มีประสบการณ์ในสายงานบัญชีอย่างน้อย 2 ปีขึ้นไป,"มีความคิดเชิงวิเคราะห์, มีความละเอียดรอบคอบ",มีความรู้เกี่ยวกับธุรกิจยางพาราจะพิจารณาเป็นพิเศษ,5d ago
1884,Mobile Developer (50K),https://th.jobsdb.com//th/en/job/mobile-developer-50k-300003002458160?token=0~e8caa32f-cac0-42fb-98f9-acec9883c68c&sectionRank=1885&jobId=jobsdb-th-job-300003002458160,Tech Soft Holding Company Limited,Yannawa,,,,1d ago
1885,Portfolio Management Officer (International Branch),https://th.jobsdb.com//th/en/job/portfolio-management-officer-international-branch-300003002455034?token=0~e8caa32f-cac0-42fb-98f9-acec9883c68c&sectionRank=1886&jobId=jobsdb-th-job-300003002455034,Bangkokbank (BBL),Bangrak,"Portfolio Management, Risk management","Strong numeric analytical, Good at Excel / VBA",5 minites walk from BTS/MRT (work at Silom HQ),6d ago
1886,Full-Stack Developer/Full-Stack Developer,https://th.jobsdb.com//th/en/job/full-stack-developer-full-stack-developer-300003002453319?token=0~e8caa32f-cac0-42fb-98f9-acec9883c68c&sectionRank=1887&jobId=jobsdb-th-job-300003002453319,"Moreton Bay Co., Ltd.",Central,Full-Stack Developer,Full-Stack Developer,Full-Stack Developer,1d ago
1887,E-Commerce Web Developer (1 Year Contract)/นักพัฒนาเว็บไซต์ E-Commerce,https://th.jobsdb.com//th/en/job/e-commerce-web-developer-1-year-contract-%E0%B8%99%E0%B8%B1%E0%B8%81%E0%B8%9E%E0%B8%B1%E0%B8%92%E0%B8%99%E0%B8%B2%E0%B9%80%E0%B8%A7%E0%B9%87%E0%B8%9A%E0%B9%84%E0%B8%8B%E0%B8%95%E0%B9%8C-e-commerce-300003002461801?token=0~e8caa32f-cac0-42fb-98f9-acec9883c68c&sectionRank=1888&jobId=jobsdb-th-job-300003002461801,"BrotherJ Co., Ltd.",Donmuang,,,,1d ago
1888,Technical Implementation (Transaction Banking),https://th.jobsdb.com//th/en/job/technical-implementation-transaction-banking-300003002452532?token=0~e8caa32f-cac0-42fb-98f9-acec9883c68c&sectionRank=1889&jobId=jobsdb-th-job-300003002452532,Bangkok Bank Public Company Limited,Sathorn,"Office365, Power App, Share Point","SAP-FI, Functional, ABAP","Blockchain, Procure to Pay",4d ago
1889,Compliance & BOI,https://th.jobsdb.com//th/en/job/compliance-boi-300003002454195?token=0~e8caa32f-cac0-42fb-98f9-acec9883c68c&sectionRank=1890&jobId=jobsdb-th-job-300003002454195,"PA & CA Recruitment Co., Ltd.",Ayutthaya,"Bachelor's degree in Law, Finance",1 years’ experience in Compliance,Good communication and presentation skill,20h ago
1890,Infrastructure,https://th.jobsdb.com//th/en/job/infrastructure-300003002467097?token=0~a165d4a2-9178-4459-81cc-9d5c381fe265&sectionRank=1891&jobId=jobsdb-th-job-300003002467097,"SCB TECH X CO., LTD.",จตุจักร,"provision,manage,enhance,maintain&support platform","AWS,EKS,JSON,YML format,GIT,Jenkins",Work form  Anywhere,1 วันที่ผ่านมา
1891,Sourcing and Procurement Specialist Traded Goods,https://th.jobsdb.com//th/en/job/sourcing-and-procurement-specialist-traded-goods-300003002453894?token=0~a165d4a2-9178-4459-81cc-9d5c381fe265&sectionRank=1892&jobId=jobsdb-th-job-300003002453894,deSter Company Limited,กรุงเทพมหานคร,"University Graduate in business, procurement",2-5 years of relevant (international) procurement,Sourcing vendors in different countries,1 วันที่ผ่านมา
1892,Investment Manager,https://th.jobsdb.com//th/en/job/investment-manager-300003002453463?token=0~a165d4a2-9178-4459-81cc-9d5c381fe265&sectionRank=1893&jobId=jobsdb-th-job-300003002453463,Central Group (Central Pattana Public Company Limited),ปทุมวัน,Investment,M&A,Corporate Finance,1 วันที่ผ่านมา
1893,CRM Manager,https://th.jobsdb.com//th/en/job/crm-manager-300003002450656?token=0~a165d4a2-9178-4459-81cc-9d5c381fe265&sectionRank=1894&jobId=jobsdb-th-job-300003002450656,Central JD Commerce Limited.,ห้วยขวาง,2 years experience in CRM Manager,2 years experience in online platform,CRM budget across all engagement channels,7 วันที่ผ่านมา
1894,Business Process Improvement Manager (Central Chaengwattana),https://th.jobsdb.com//th/en/job/business-process-improvement-manager-central-chaengwattana-300003002459024?token=0~a165d4a2-9178-4459-81cc-9d5c381fe265&sectionRank=1895&jobId=jobsdb-th-job-300003002459024,Central Retail Corporation Public Company Limited,ปากเกร็ด,Monitor the progress of company Policy/Procedure,Lead business process optimization via Policy,Create standard template and guideline for process,20 ชั่วโมงที่ผ่านมา
1895,Officer/Senior Officer/Manager for IT Risk Role (under Operational Risk),https://th.jobsdb.com//th/en/job/officer-senior-officer-manager-for-it-risk-role-under-operational-risk-300003002453754?token=0~a165d4a2-9178-4459-81cc-9d5c381fe265&sectionRank=1896&jobId=jobsdb-th-job-300003002453754,"SCB Securities Co., Ltd.",จตุจักร,Identify potential risk & recommend control risk,Assist to prepare the IT risk reports,Assist the team with ad hoc tasks,1 วันที่ผ่านมา
1896,เจ้าหน้าที่การเงิน (สัญญาจ้าง 1 ปี),https://th.jobsdb.com//th/en/job/%E0%B9%80%E0%B8%88%E0%B9%89%E0%B8%B2%E0%B8%AB%E0%B8%99%E0%B9%89%E0%B8%B2%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%80%E0%B8%87%E0%B8%B4%E0%B8%99-%E0%B8%AA%E0%B8%B1%E0%B8%8D%E0%B8%8D%E0%B8%B2%E0%B8%88%E0%B9%89%E0%B8%B2%E0%B8%87-1-%E0%B8%9B%E0%B8%B5-300003002467268?token=0~a165d4a2-9178-4459-81cc-9d5c381fe265&sectionRank=1897&jobId=jobsdb-th-job-300003002467268,Index Creative Village Public Company Limited,พระโขนง,,,,1 วันที่ผ่านมา
1897,Junior-Senior Programmer for Risk Management,https://th.jobsdb.com//th/en/job/junior-senior-programmer-for-risk-management-300003002459915?token=0~a165d4a2-9178-4459-81cc-9d5c381fe265&sectionRank=1898&jobId=jobsdb-th-job-300003002459915,"BBL Asset Management Co., Ltd.",กรุงเทพมหานคร,Programmer,risk and investment performance system,Being able to be responsible for ad-hoc jobs,6 วันที่ผ่านมา
1898,Business Development - Manager,https://th.jobsdb.com//th/en/job/business-development-manager-300003002465419?token=0~a165d4a2-9178-4459-81cc-9d5c381fe265&sectionRank=1899&jobId=jobsdb-th-job-300003002465419,B.Grimm,บางกะปิ,Business Development,International Business Development,Manager,5 วันที่ผ่านมา
1899,Operational Audit,https://th.jobsdb.com//th/en/job/operational-audit-300003002451226?token=0~a165d4a2-9178-4459-81cc-9d5c381fe265&sectionRank=1900&jobId=jobsdb-th-job-300003002451226,Krungsri Consumer,ปทุมวัน,5 years experience in Audit Field,Exp in Banking or Financial industry is a plus,"CIA, CISA is preferable",5 วันที่ผ่านมา
1900,เจ้าหน้าที่ – เจ้าหน้าที่อาวุโส   ส่วนตรวจสอบพิเศษ,https://th.jobsdb.com//th/en/job/%E0%B9%80%E0%B8%88%E0%B9%89%E0%B8%B2%E0%B8%AB%E0%B8%99%E0%B9%89%E0%B8%B2%E0%B8%97%E0%B8%B5%E0%B9%88-%E0%B9%80%E0%B8%88%E0%B9%89%E0%B8%B2%E0%B8%AB%E0%B8%99%E0%B9%89%E0%B8%B2%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%AD%E0%B8%B2%E0%B8%A7%E0%B8%B8%E0%B9%82%E0%B8%AA-%E0%B8%AA%E0%B9%88%E0%B8%A7%E0%B8%99%E0%B8%95%E0%B8%A3%E0%B8%A7%E0%B8%88%E0%B8%AA%E0%B8%AD%E0%B8%9A%E0%B8%9E%E0%B8%B4%E0%B9%80%E0%B8%A8%E0%B8%A9-300003002466675?token=0~a165d4a2-9178-4459-81cc-9d5c381fe265&sectionRank=1901&jobId=jobsdb-th-job-300003002466675,SMALL AND MEDIUM ENTERPRISE DEVELOPMENT BANK OF THAILAND,พญาไท,,,,1 วันที่ผ่านมา
1901,Process Improvement Specialist,https://th.jobsdb.com//th/en/job/process-improvement-specialist-300003002464648?token=0~a165d4a2-9178-4459-81cc-9d5c381fe265&sectionRank=1902&jobId=jobsdb-th-job-300003002464648,"Ngernturbo Co., Ltd. / บริษัท เงินเทอร์โบ จำกัด",ปากเกร็ด,Challenging but Rewarding Work,Fast Growing Company,Generous Benefits,5 วันที่ผ่านมา
1902,Solution Consultant (BA/SA),https://th.jobsdb.com//th/en/job/solution-consultant-ba-sa-300003002449368?token=0~a165d4a2-9178-4459-81cc-9d5c381fe265&sectionRank=1903&jobId=jobsdb-th-job-300003002449368,PTG Energy Public Company Limited,ห้วยขวาง,System Analyst,Business Analyst,UX/UI,8 วันที่ผ่านมา
1903,Recruiter,https://th.jobsdb.com//th/en/job/recruiter-300003002463252?token=0~a165d4a2-9178-4459-81cc-9d5c381fe265&sectionRank=1904&jobId=jobsdb-th-job-300003002463252,"Shopee (Thailand) Co., Ltd.",ห้วยขวาง,End to end recruitment process,Strong MS Excel skills,Excellence Thai & English communication,20 ชั่วโมงที่ผ่านมา
1904,Application Support Specialists/Application Support Specialists,https://th.jobsdb.com//th/en/job/application-support-specialists-application-support-specialists-300003002466807?token=0~a165d4a2-9178-4459-81cc-9d5c381fe265&sectionRank=1905&jobId=jobsdb-th-job-300003002466807,"Carenet International Co., Ltd.",คลองเตย,"Application Support ,Contract 1 Year+, Salary 35K",Maintenance and support systems,"Software development, Software Testing",1 วันที่ผ่านมา
1905,Live Stream Technician/เจ้าหน้าที่เทคนิคการถ่ายทอดสด,https://th.jobsdb.com//th/en/job/live-stream-technician-%E0%B9%80%E0%B8%88%E0%B9%89%E0%B8%B2%E0%B8%AB%E0%B8%99%E0%B9%89%E0%B8%B2%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B9%80%E0%B8%97%E0%B8%84%E0%B8%99%E0%B8%B4%E0%B8%84%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%96%E0%B9%88%E0%B8%B2%E0%B8%A2%E0%B8%97%E0%B8%AD%E0%B8%94%E0%B8%AA%E0%B8%94-300003002466069?token=0~a165d4a2-9178-4459-81cc-9d5c381fe265&sectionRank=1906&jobId=jobsdb-th-job-300003002466069,No More Work Company Limited,เมืองนนทบุรี,ประสบการณ์การทำงานตั้งแต่ 0 - 3 ปี,วุฒิการศึกษาระดับปริญญาตรี สาขาที่เกี่ยวข้อง,เงินเดือนตามประสบการณ์,4 วันที่ผ่านมา
1906,MES Engineer ( Electronic  ) position,https://th.jobsdb.com//th/en/job/mes-engineer-electronic-position-300003002457683?token=0~a165d4a2-9178-4459-81cc-9d5c381fe265&sectionRank=1907&jobId=jobsdb-th-job-300003002457683,"GPV Asia (Thailand) Co., Ltd",เมืองสมุทรปราการ,Bachelor degree in Electronical engineering.,3 years’ experience in Electronics manufacturing,systematic problem solving and decision making.,1 วันที่ผ่านมา
1907,Accounting Manager/ผู้จัดการบัญชีและการเงิน,https://th.jobsdb.com//th/en/job/accounting-manager-%E0%B8%9C%E0%B8%B9%E0%B9%89%E0%B8%88%E0%B8%B1%E0%B8%94%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%9A%E0%B8%B1%E0%B8%8D%E0%B8%8A%E0%B8%B5%E0%B9%81%E0%B8%A5%E0%B8%B0%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%80%E0%B8%87%E0%B8%B4%E0%B8%99-300003002454008?token=0~a165d4a2-9178-4459-81cc-9d5c381fe265&sectionRank=1908&jobId=jobsdb-th-job-300003002454008,"VERTEX ENGINEERING CO., LTD.",เมืองสมุทรปราการ,,,,1 วันที่ผ่านมา
1908,Application Support / System Support (Contract),https://th.jobsdb.com//th/en/job/application-support-system-support-contract-300003002450849?token=0~a165d4a2-9178-4459-81cc-9d5c381fe265&sectionRank=1909&jobId=jobsdb-th-job-300003002450849,"ÆON Thana Sinsap (Thailand) Public Co., Ltd.",คลองเตย,Computer Science/ Engineering/ IT,3 years in Customer service and project management,"Mobile application, reporting, other applications",7 วันที่ผ่านมา
1909,Senior Manager Pricing & Product Management Vans,https://th.jobsdb.com//th/en/job/senior-manager-pricing-product-management-vans-300003002457956?token=0~a165d4a2-9178-4459-81cc-9d5c381fe265&sectionRank=1910&jobId=jobsdb-th-job-300003002457956,Mercedes-Benz (Thailand) Ltd.,สาทร,,,,1 วันที่ผ่านมา
1910,Organization Design Senior Associate,https://th.jobsdb.com//th/en/job/organization-design-senior-associate-300003002454961?token=0~a165d4a2-9178-4459-81cc-9d5c381fe265&sectionRank=1911&jobId=jobsdb-th-job-300003002454961,Thai Beverages Public Company Limited,คลองเตย,3-5 years experiences in organization development,Experience in SAP or other system implementation,Good command of spoken & written English,14 ชั่วโมงที่ผ่านมา
1911,Senior Business Analyst/นักวิชาการวิเคราะห์ธุรกิจอาวุโส,https://th.jobsdb.com//th/en/job/senior-business-analyst-%E0%B8%99%E0%B8%B1%E0%B8%81%E0%B8%A7%E0%B8%B4%E0%B8%8A%E0%B8%B2%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%A7%E0%B8%B4%E0%B9%80%E0%B8%84%E0%B8%A3%E0%B8%B2%E0%B8%B0%E0%B8%AB%E0%B9%8C%E0%B8%98%E0%B8%B8%E0%B8%A3%E0%B8%81%E0%B8%B4%E0%B8%88%E0%B8%AD%E0%B8%B2%E0%B8%A7%E0%B8%B8%E0%B9%82%E0%B8%AA-300003002451537?token=0~a165d4a2-9178-4459-81cc-9d5c381fe265&sectionRank=1912&jobId=jobsdb-th-job-300003002451537,Equitable Education Fund (EEF),พญาไท,Senior Business Analyst,ระบบสารสนเทศ,แผนยุทธศาสตร์ขององค์กรและแผนแม่บท,5 วันที่ผ่านมา
1912,Senior Recruitment Analyst  (TOEIC 550 or above),https://th.jobsdb.com//th/en/job/senior-recruitment-analyst-toeic-550-or-above-300003002462587?token=0~a165d4a2-9178-4459-81cc-9d5c381fe265&sectionRank=1913&jobId=jobsdb-th-job-300003002462587,Nathalin Group,บางนา,,,,1 วันที่ผ่านมา
1913,System Analysis Specialist  สมัครด่วน!!,https://th.jobsdb.com//th/en/job/system-analysis-specialist-%E0%B8%AA%E0%B8%A1%E0%B8%B1%E0%B8%84%E0%B8%A3%E0%B8%94%E0%B9%88%E0%B8%A7%E0%B8%99!!-300003002450106?token=0~a165d4a2-9178-4459-81cc-9d5c381fe265&sectionRank=1914&jobId=jobsdb-th-job-300003002450106,"Prospersof Consulting Co., Ltd.",กรุงเทพมหานคร,มีประสบการณ์พัฒนาและออกแบบระบบองค์กรธุรกิจต่าง ๆ,SQL Server (Stored procedure),ASP.NET (Web) หรือ .NET (Win),7 วันที่ผ่านมา
1914,PHP Developer/เจ้าหน้าที่พัฒนาเว็บไซต์,https://th.jobsdb.com//th/en/job/php-developer-%E0%B9%80%E0%B8%88%E0%B9%89%E0%B8%B2%E0%B8%AB%E0%B8%99%E0%B9%89%E0%B8%B2%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%9E%E0%B8%B1%E0%B8%92%E0%B8%99%E0%B8%B2%E0%B9%80%E0%B8%A7%E0%B9%87%E0%B8%9A%E0%B9%84%E0%B8%8B%E0%B8%95%E0%B9%8C-300003002460708?token=0~a165d4a2-9178-4459-81cc-9d5c381fe265&sectionRank=1915&jobId=jobsdb-th-job-300003002460708,"Soft De’But Co., Ltd.",คลองสาน,,,,5 วันที่ผ่านมา
1915,Head of Project Management,https://th.jobsdb.com//th/en/job/head-of-project-management-300003002452778?token=0~a165d4a2-9178-4459-81cc-9d5c381fe265&sectionRank=1916&jobId=jobsdb-th-job-300003002452778,Cathcart Associates Asia Recruitment Ltd.,กรุงเทพมหานคร,10+ years of experience in management level,Experience in large scale and complex projects,Have financial banking business exposure,4 วันที่ผ่านมา
1916,Backend Developer (Golang),https://th.jobsdb.com//th/en/job/backend-developer-golang-300003002466522?token=0~a165d4a2-9178-4459-81cc-9d5c381fe265&sectionRank=1917&jobId=jobsdb-th-job-300003002466522,PRTR Recruitment and Outsourcing,กรุงเทพมหานคร,1 Year with Golang,At Least 3 Years in Software Developer,BTS Onnut Area,1 วันที่ผ่านมา
1917,Senior Product Owner / Product Owner - OneApp,https://th.jobsdb.com//th/en/job/senior-product-owner-product-owner-oneapp-300003002461631?token=0~a165d4a2-9178-4459-81cc-9d5c381fe265&sectionRank=1918&jobId=jobsdb-th-job-300003002461631,TMBThanachart Bank Public Company Limited,จตุจักร,"Project Management , Product Owner",Process management,knowledge of software engineering methodologies,4 วันที่ผ่านมา
1918,【Wattana-Bangkok】Admin & Customer Support (JLPT N2)_Bangkok_Base up to 28K (Welcome fresh graduate),https://th.jobsdb.com//th/en/job/%E3%80%90wattana-bangkok%E3%80%91admin-customer-support-jlpt-n2-_bangkok_base-up-to-28k-welcome-fresh-graduate-300003002462405?token=0~a165d4a2-9178-4459-81cc-9d5c381fe265&sectionRank=1919&jobId=jobsdb-th-job-300003002462405,"PERSOLKELLY HR Services Recruitment (Thailand) Co., Ltd.",วัฒนา,Japanese Well-Known Retail business,Expanding business and branch in bangkok,Support job for assisting Japanese Manager,1 วันที่ผ่านมา
1919,Career Advisor @Chonburi (20K-25K) (SDG-7468),https://th.jobsdb.com//th/en/job/career-advisor-%40chonburi-20k-25k-sdg-7468-300003002458553?token=0~a165d4a2-9178-4459-81cc-9d5c381fe265&sectionRank=1920&jobId=jobsdb-th-job-300003002458553,"RGF HR Agent Recruitment (Thailand) Co., Ltd.",ชลบุรี,At least 1+ years of sales experience,Has the strong client/customer-oriented mind,Good computer literacy,20 ชั่วโมงที่ผ่านมา
1920,IT Manager / Director/ผู้จัดการฝ่ายเทคโนโลยีและสารสนเทศ / ผู้อำนวยการฝ่ายเทคโนโลยีและสารสนเทศ,https://th.jobsdb.com//th/en/job/it-manager-director-%E0%B8%9C%E0%B8%B9%E0%B9%89%E0%B8%88%E0%B8%B1%E0%B8%94%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%9D%E0%B9%88%E0%B8%B2%E0%B8%A2%E0%B9%80%E0%B8%97%E0%B8%84%E0%B9%82%E0%B8%99%E0%B9%82%E0%B8%A5%E0%B8%A2%E0%B8%B5%E0%B9%81%E0%B8%A5%E0%B8%B0%E0%B8%AA%E0%B8%B2%E0%B8%A3%E0%B8%AA%E0%B8%99%E0%B9%80%E0%B8%97%E0%B8%A8-%E0%B8%9C%E0%B8%B9%E0%B9%89%E0%B8%AD%E0%B8%B3%E0%B8%99%E0%B8%A7%E0%B8%A2%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%9D%E0%B9%88%E0%B8%B2%E0%B8%A2%E0%B9%80%E0%B8%97%E0%B8%84%E0%B9%82%E0%B8%99%E0%B9%82%E0%B8%A5%E0%B8%A2%E0%B8%B5%E0%B9%81%E0%B8%A5%E0%B8%B0%E0%B8%AA%E0%B8%B2%E0%B8%A3%E0%B8%AA%E0%B8%99%E0%B9%80%E0%B8%97%E0%B8%A8-300003002462398?token=0~2dfadeba-22b6-401b-a53d-9f46d78869b5&sectionRank=1921&jobId=jobsdb-th-job-300003002462398,"Saeng Charoen Grand Co., Ltd.",Tung-kru,,,,1d ago
1921,Compliance - Associate (Urgently Required),https://th.jobsdb.com//th/en/job/compliance-associate-urgently-required-300003002466423?token=0~2dfadeba-22b6-401b-a53d-9f46d78869b5&sectionRank=1922&jobId=jobsdb-th-job-300003002466423,"Siam Paragon Development Co., Ltd.",Pathumwan,BTS Siam station,Big 4 experience will be advantaged,Strong analytical minded person and maturity,2d ago
1922,Senior Marketing Officer,https://th.jobsdb.com//th/en/job/senior-marketing-officer-300003002452130?token=0~2dfadeba-22b6-401b-a53d-9f46d78869b5&sectionRank=1923&jobId=jobsdb-th-job-300003002452130,Bnk Musicmall Company Limited,Bangkae,,,,4d ago
1923,SA (system analyst),https://th.jobsdb.com//th/en/job/sa-system-analyst-300003002456278?token=0~2dfadeba-22b6-401b-a53d-9f46d78869b5&sectionRank=1924&jobId=jobsdb-th-job-300003002456278,"GETFIN CO., LTD.",Sathorn,,,,5d ago
1924,Head of Delivery (Strong in IT Banking Project),https://th.jobsdb.com//th/en/job/head-of-delivery-strong-in-it-banking-project-300003002461178?token=0~2dfadeba-22b6-401b-a53d-9f46d78869b5&sectionRank=1925&jobId=jobsdb-th-job-300003002461178,"NTT DATA (Thailand) Co., Ltd.",Prakket,,,,4d ago
